, PRODUCT A ,exp,err, PRODUCT B ,exp,err, PRODUCT C ,exp,err, PRODUCT D ,exp,err
DATE, Daily Sales ,0.05,, Daily Sales ,0.05,, Daily Sales ,0.05,, Daily Sales ,0.05,
14-Jun-11,"5,795",5601.934741,2566.653859,180,186.9641216,209.1175256,,0.000124688,#DIV/0!,318,315.2527824,215.6000306
15-Jun-11,"6,358",6320.196737,2471.454241,414,402.6482061,246.8033688,2,1.900006234,1.15462855,"2,628",2512.362639,1338.046857
16-Jun-11,"1,394",1640.309837,3639.996644,,20.1324103,153.7800227,30,28.59500031,16.2645745,720,809.618132,1689.613605
17-Jun-11,355,419.2654918,2971.591624,,1.006620515,131.0792255,,1.429750016,16.2645745,30,68.9809066,1748.253219
20-Jun-11,324,328.7632746,2939.870246,354,336.350331,203.8008227,,0.071487501,16.22353896,216,208.6490453,1131.662917
21-Jun-11,"9,660",9193.438164,5438.537662,498,489.9175166,224.1539214,,0.003574375,#DIV/0!,"1,476",1412.632452,863.2491892
22-Jun-11,"3,690",3965.171908,6254.835089,630,622.9958758,238.2981631,6,5.700178719,3.462037949,"2,838",2766.731623,1104.455477
23-Jun-11,"1,140",1281.258595,6463.781317,12,42.54979379,373.7511106,,0.285008936,3.462037949,342,463.2365811,1781.120858
24-Jun-11,450,491.5629298,3603.721169,,2.12748969,361.9111597,,0.014250447,3.462037949,318,325.2618291,1626.047329
27-Jun-11,716,704.7781465,1705.18417,336,319.3063745,401.9895577,,0.000712522,#DIV/0!,186,192.9630915,1404.731405
28-Jun-11,"8,094",7724.538907,4295.034437,462,454.8653187,209.6284999,,3.56261E-05,#DIV/0!,"1,650",1577.148155,849.2043481
29-Jun-11,"5,305",5425.976945,4490.921959,295,302.9932659,229.0482075,,1.78131E-06,#DIV/0!,936,968.0574077,922.5727372
30-Jun-11,"1,199",1410.348847,5109.536907,24,37.9496633,203.1055828,,8.90653E-08,#DIV/0!,318,350.5028704,992.7406748
01-Jul-11,120,184.5174424,2908.980507,,1.897483165,185.6467637,21,19.95,12.1243556,12,28.92514352,562.2068963
05-Jul-11,"12,099",11503.27587,7336.830125,654,621.3948742,409.5017033,20,19.9975,12.12438997,"1,956",1859.646257,1190.346774
06-Jul-11,"4,782",5118.063794,7932.9575,750,743.5697437,383.7433912,,0.999875,12.12438997,"4,776",4630.182313,2027.586484
07-Jul-11,251,494.3531897,8382.894368,18,54.27848719,568.1045748,,0.04999375,0.028867511,60,288.5091156,3321.912252
08-Jul-11,200,214.7176595,4794.111079,,2.713924359,425.4373167,,0.002499688,#DIV/0!,72,82.82545578,3132.547511
11-Jul-11,"3,617",3446.885883,3432.709275,264,250.9356962,445.2422061,,0.000124984,#DIV/0!,114,112.4412728,2641.616577
12-Jul-11,"6,661",6500.294294,2707.563387,426,417.2467848,181.5837032,,6.24922E-06,#DIV/0!,354,341.9220636,188.1476974
13-Jul-11,"5,620",5664.014715,2749.604379,456,454.0623392,182.9569489,21,19.95000031,12.12435204,"3,996",3813.296103,2114.36421
14-Jul-11,"1,382",1596.100736,3132.68243,12,34.10311696,275.4199423,,0.997500016,12.12435204,324,498.4648052,2920.378028
15-Jul-11,250,317.3050368,2640.868244,,1.705155848,256.2036452,,0.049875001,12.12435204,60,81.92324026,2928.009805
